# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
moderne kunst galerij|galerij voor moderne kunst
moderne vreemde talen onderwijs|onderwijs in de moderne vreemde talen
moeilijke woorden lijst|lijst met moeilijke woorden
mooie plaatjes film|film met vooral mooie plaatjes
mooi weer programma|programma voor als het mooi weer is
mooi weer rijder|iemand die alleen met mooi weer rijdt
multi modaal vervoer overeenkomst|overeenkomst over multimodaal vervoer
multi modale vervoer overeenkomst|overeenkomst over multimodaal vervoer
naschoolse opvang gebouw|gebouw waarin de naschoolse opvang gehuisvest is
natte dweilen lucht|muffe lucht als van een natte dweil
natte vinger werk|onnauwkeurig werk
Nederlands elf tal speler|speler van het Nederlands elftal
Nederlandse taal gebruiker|iemand die de Nederlandse taal gebruikt
Nederlands openbaar vervoer spel|spel over het openbaar vervoer in Nederland
neurale buis defect|defect van de neurale buis
nieuwe haring seizoen|seizoen waarin nieuwe haring verkrijgbaar is
nieuwe leden dag|dag voor nieuwe leden
nieuwe tijds kind|kind van de nieuwe tijd’, ‘sensitief kind
nordic walking stokken|stokken die gebruikt worden bij nordic walking
nul energie woning|woning die ongeveer evenveel energie opwekt als er wordt gebruikt
onbepaalde tijd contract|contract voor onbepaalde tijd
ongewenste dieren verdrijver|verdrijver van ongewenste dieren
ongewenste e-mail map|map voor ongewenste e-mail
onroerende zaak belasting|belasting van onroerende zaken
onroerend goed belasting|belasting voor onroerend goed
onroerend goed magnaat|magnaat in onroerend goed
openbaar vervoer terminal|terminal in/voor het openbaar vervoer
openbaar vervoer verklaring|verklaring dat men gebruikmaakt van het openbaar vervoer
openbare orde probleem|probleem voor de openbare orde
openbare orde verstoring|verstoring van de openbare orde
open boek tentamen|tentamen met een open boek’, ‘tentamen waarbij je boeken mag raadplegen
open bronnen onderzoek|onderzoek in open bronnen
open buik behandeling|medische behandeling waarbij de buik geopend wordt
open deur cultuur|cultuur waarin de deur altijd openstaat
open deur dag|dag waarop de deur opengaat’, ‘open dag
open deuren beleid|beleid waarbij de deuren openstaan
open deur onderzoek|onderzoek waarvan de resultaten open deuren zijn
open deur politiek|politiek van open deuren’, ‘economisch beleid waarbij een markt vrij toegankelijk is voor alle marktspelers
open einde regeling|regeling met een open einde’, ‘regeling waarvan de gevolgen voor de begroting niet kunnen worden voorzien
open haard hout|hout voor de open haard
open hart operatie|operatie met een open hart’, ‘operatie waarbij de werking van het hart tijdelijk door een kunsthart wordt overgenomen
open huis dagen|dagen waarop het ‘open huis’ is
open huis feest|feest en open huis
open huizen route|route langs te bezichtigen huizen voor aspirant-kopers
open huwelijks relatie|relatie die een open huwelijk voorstaat
open label onderzoek|onderzoek waarbij zowel proefpersonen als onderzoekers weten welk middel wordt toegediend
open lucht bad|bad in de openlucht/open lucht
open lucht concert|concert in de openlucht/open lucht
open podium avond|avond met een open podium
open podium optreden|optreden op een open podium
open sollicitatie brief|brief voor een open sollicitatie
open staande facturen overzicht|overzicht van openstaande facturen
open staande posten lijst|lijst van openstaande posten
open standaarden beleid|beleid op het gebied van open standaarden
open tafel houder|iemand die een open tafel houdt’, ‘gastvrij persoon
open tuinen commissie|commissie die tuinen bezoekt die mogelijk opengesteld worden voor publiek
open tuin weekend|weekend waarin tuinen opengesteld zijn voor bezoekers
open water zwemmen|vorm van zwemmen waarbij in open water wordt gezwommen en niet in een zwembad
oranje kaart procedure|procedure waarbij EU-wetgeving kan worden tegengehouden
organische stof gehalte|gehalte aan organische stof
oude dags reserve|reserve voor de oude dag
oude dags vrijstelling|vrijstelling voor de oude dag
oude dames hoedje|hoedje zoals oude dames dat dragen
oude lullen dag|extra vrije dag voor oudere werknemers
oudelullendagen|extra vrije dagen voor oudere werknemers
oude mannen fantasie|fantasie voor oude mannen
oude mannen huis|huis voor oude mannen
oude mannen lucht|lucht/geur die oude mannen zou omgeven
oude mannetjes kwaal|kwaal voor oude mannetjes’, ‘hypertrofie van de prostaat
oude muziek festival|festival voor oude muziek
oude talen onderwijs|onderwijs in oude talen
oude wijfs kaak|soort vis
oude wijven knoop|knoop voor oude wijven
oude wijven koek|zachte koek
oude wijven zomer|nazomer met mooi weer
oud geld milieu|milieu van mensen met oud geld
oud papier container|container voor oud papier
oud papier ophaler|ophaler van oud papier
ouwe lullen dag|extra vrije dag voor oudere werknemers
ouwe lullen dagen|extra vrije dagen voor oudere werknemers
paarse krokodil syndroom|overdreven toepassen van regeltjes
palliatieve zorg benadering|benadering van de zorg rond een ongeneeslijk zieke patiënt
palliatieve sedatie protocol|protocol voor het toedienen van kalmerende middelen bij terminaal zieke patiënten
plastische chirurgie behandeling|behandeling door een plastisch chirurg
plastische chirurgie kliniek|kliniek voor plastische chirurgie
platte buis kachel|ouderwetse kookkachel
platte tekst versie|versie in platte tekst
prikkelbare darm syndroom|spastische dikke darm
publieke sector bank|bank voor de publieke sector
pure chocolade brownie|brownie met pure chocolade
pure chocolade mousse|mousse van pure chocolade
quartaire diensten productie|productie van quartaire diensten
quartaire sector voorzieningen|voorzieningen in de quartaire sector
rauwe groente eter|iemand die rauwe groenten eet
rauwe melk kaas|rauwmelkse kaas
rechte hoek teken|wiskundig teken dat een rechte hoek aanduidt
rode kaart procedure|EU-procedure
rode lampjes buurt|rosse buurt
rode lantaarn drager|laatste in de rij
rode loper behandeling|behandeling als een ster op de rode loper
rode loper moment|moment waarop iemand op een rode loper loopt, moment waarop iemand zich een ster voelt
rode loper première|chique première met een rode loper voor de gasten
rode oortjes lectuur|seksueel getinte lectuur
rodeo ortjes verhaal|verhaal over onderwerpen die min of meer geheim zijn
rode uien compote|compote van rode uien
rode wijn azijn|azijn van rode wijn
rode wijn glas|glas voor rode wijn
rode wijn saus|saus gemaakt van rode wijn
ronde tafel gesprek|gesprek aan de ronde tafel’, ‘overleg waarbij alle deelnemers gelijkgerechtigd zijn
rood kruis negeerder|automobilist die een rood kruis negeert
rotte eieren geur|geur van rotte eieren
roze bril effect|resultaat van de zaken rooskleurig bekijken
roze trui drager|drager van de roze trui in de Giro
roze wolk gevoel|gevoel dat je op een roze wolk zit
ruimschoots voldoende verklaring|verklaring dat het saldo van de nalatenschap voldoende is om de schulden te dekken
ruimtelijke ordenings beleid|beleid ten aanzien van de ruimtelijke ordening
rusteloze benen syndroom|syndroom waarbij een onaangenaam gevoel in de benen bij de patiënt een onbedwingbare neiging opwekt zijn benen telkens te bewegen
schone energie les brief|lesbrief van Greenpeace over schone energie
schone energie opwekking|opwekking van schone energie
schone energie technologie|technologie om schone energie op te wekken
schone grond verklaring|verklaring van de gemeente dat de kwaliteit van de bodem geschikt is voor bv. bouw
schone handen politiek|politiek waarbij de betrokkene zich afzijdig houdt en het vuile werk door anderen laat opknappen
schone handen werk|werk waarbij men schone handen houdt
schone kleren campagne|campagne om de arbeidssituatie in de kleding- en sportschoenenindustrie wereldwijd te verbeteren
Schotse whisky drinker|drinker van Schotse whisky
seksuele voorlichtings film|film waarmee seksuele voorlichting wordt gegeven
slechte adem kliniek|kliniek gespecialiseerd in behandeling van mensen met een slechte adem
slecht nieuws gesprek|gesprek waarin slecht nieuws moet worden overgebracht
slecht weer programma|programma voor als het onverhoopt slecht weer wordt
slecht weer scenario|scenario voor als het onverhoopt slecht weer wordt
slecht weer voorziening|voorziening voor als het onverhoopt slecht weer wordt
snelle interventie macht|militaire eenheid voor snelle interventies
snelle kweek reactor|reactor voor snelle kweek
snelle reactie macht|militaire eenheid die in oorlogsgebieden bij calamiteiten uiterst snel in actie kan komen
sociaal domein dag|dag waarop zorg- en welzijnsorganisaties elkaar ontmoeten
sociaal netwerk ondersteuning|ondersteuning van het sociaal netwerk
sociale innovatie scan|scan om de sociale innovatie te meten
sociale innovatie traject|traject voor sociale innovatie
sociale media beleid|beleid ten aanzien van sociale media
sociale media landschap|het landschap van de sociale media’, ‘dat wat duidelijk wordt als je de sociale media beschouwt
sociale media protocol|protocol ten aanzien van sociale media
sociale media training|training in het gebruik van sociale media
sociale vaardigheids training|training in sociale vaardigheden
sociale verzekerings rechter|rechter voor de sociale verzekeringen
sociale zekerheids wetgeving|wetgeving voor de sociale zekerheid
spoedeisende hulp afdeling|afdeling voor spoedeisende hulp
spoedeisende hulp verpleegkundige|verpleegkundige werkzaam op de afdeling Spoedeisende Hulp
staande golven patroon|patroon van een zich niet voortplantend ruimtelijk golfverschijnsel
staande mast route|vaarroute voor hoge schepen
staand want net|visnet dat rechtop in het water staat
staand want visnet|visnet dat rechtop in het water staat
staand want visserij|visserij waarbij gebruik wordt gemaakt van netten/fuiken die niet worden voortgesleept
stenen vloer etage oven|etageoven met een stenen vloer
steile wand rijder|motorrijder die langs steile wanden rijdt
sterke dollar beleid|beleid gericht op een sterke dollar
stoere mannen taal|taal voor stoere mannen
stomme film actrice|actrice ten tijde van de stomme film
strekkende meter prijs|prijs per strekkende meter
tachtig kilometer zone|zone waarin tachtig kilometer het maximum is
tamme eenden borst|gerecht met het vlees van de borst van een tamme eend
tamme konijnen bouten|bouten van tamme konijnen
technische recherche werk|werk van de technische recherche
tegenstrijdig belangen regeling|regeling op het gebied van tegenstrijdige belangen
terminale patiënten afdeling|afdeling voor terminale patiënten
tevreden klant garantie|garantie dat een klant tevreden zal zijn
tien euro biljet|biljet van tien euro
tien jaren plan|plan voor een periode van tien jaar
tien punten plan|plan dat tien punten omvat
tien ritten kaart|kaart geldig voor tien ritten op tram of bus
tien stammen rijk|het uit tien stammen bestaande rijk van Israël
tien stappen plan|plan dat tien stappen omvat
tien uren dag|werkdag van tien uur
tien vinger systeem|systeem om met alle tien de vingers te typen
transcendente meditatie centrum|centrum voor transcendente meditatie
tropisch regen woud klimaat|klimaat van het tropisch regenwoud
Turkse pizza bakker|bakker van Turkse pizza’s
tweede album syndroom|verschijnsel dat het debuutalbum van zo’n hoog niveau is, dat het tweede album bijna niet aan de verwachtingen kan voldoen
tweede generatie allochtoon|in Nederland geboren allochtoon van wie minimaal een van de ouders in het buitenland geboren is
tweede generatie antidepressiva|antidepressiva met tricyclische structuur
tweede hands auto handelaar|handelaar in tweedehands auto’s
tweede huizen markt|markt voor tweede huizen
tweede kans onderwijs|onderwijs aan ouderen die in hun jeugd niet de kans hebben gehad te studeren
tweede kans student|student in het tweedekansonderwijs
tweede klas tarief|tarief voor de tweede klas
tweede lijns zorg|gespecialiseerde zorg
tweede scherm app|app voor gebruikers van een tweede scherm
tweede taal leerder|leerder van een tweede taal
tweede taal verwerving|verwerving van een tweede taal
tweede prijs winnaar|winnaar van de tweede prijs
tweede ronde gesprek|gesprek tijdens/voor de tweede ronde
tweede woning complex|appartementsblok met appartementen die fungeren als tweede woningen
twee kamer appartement|woning met twee kamers
twee kamer flat|woning met twee kamers
twee kamer woning|woning met twee kamers
twee fasen pil|anticonceptiepil waarbij de oestrogeen- en progestageendosis in twee perioden binnen één cyclus verschillend is
twee sporen beleid|beleid waarbij gelijktijdig twee doelstellingen worden nagestreefd
twintig euro biljet|biljet van twintig euro
uiterlijke verzorgings bedrijf|bedrijf gespecialiseerd in uiterlijke verzorging, zoals de schoonheidspecialist en nagelstylist
uitgestorven dieren boek|boek over uitgestorven dieren
